8.499999999999999778e-01,4.000000000000000222e-01
6.836402923258950715e-01,7.250386621267784770e-02
6.869988353339006038e-01,4.635925801894019704e-02
6.891009106591245992e-01,2.374826548212211064e-02
6.899437038208446893e-01,7.968061213873611770e-03
6.898082990688592098e-01,1.118340160747965939e-03
6.892388947309791014e-01,3.251277647725592246e-05
6.886316711790837486e-01,6.352686399146989515e-07
6.880200899943014203e-01,1.239753438797563945e-08
6.874041379615045688e-01,2.417746558514011213e-10
6.867837655246408213e-01,4.711786516509164358e-12
6.861589222831244728e-01,9.170442183403793024e-14
6.855295569866761696e-01,1.776356839400250465e-15
