9.000000000000000222e-01,6.999999999999999556e-01
6.214554906497120612e-01,2.961779862034163990e-01
6.279670735532341119e-01,2.800609471947373974e-01
6.346666947648553769e-01,2.626667526278975706e-01
6.415012346420065903e-01,2.439053540417565613e-01
6.484007541411229703e-01,2.236948607998937022e-01
6.552751377945515987e-01,2.019721081480241320e-01
6.620105161886470357e-01,1.787104351501172528e-01
6.684658753619407978e-01,1.539498292383210676e-01
6.744707738025885746e-01,1.278486796162518480e-01
6.798261293272807038e-01,1.007736691001323848e-01
6.843121151374029765e-01,7.345574426184431349e-02
6.877111295200453167e-01,4.724819634944812941e-02
